user_id,product_id,rating
1,103,5
1,186,4
1,257,4
1,225,5
1,261,4
1,173,4
1,64,2
1,252,2
1,222,2
1,110,4
1,293,5
2,227,3
2,163,5
2,255,4
2,27,4
2,216,5
2,205,4
2,149,5
2,172,5
2,57,3
3,114,4
3,300,2
3,7,3
3,202,4
3,115,3
3,43,2
3,127,4
3,129,3
3,186,4
4,175,4
4,69,5
4,108,4
4,215,3
4,121,4
4,139,4
4,265,3
4,72,2
4,231,5
4,4,4
4,298,3
4,213,4
4,272,4
5,6,2
5,236,5
5,165,4
5,212,4
5,16,3
5,114,2
5,289,3
5,52,2
5,18,5
5,167,3
5,229,3
5,282,3
5,133,2
5,183,4
6,105,3
6,87,4
6,142,3
6,176,4
6,192,2
6,71,5
6,276,2
6,266,4
6,230,5
6,284,4
6,278,5
7,33,5
7,206,4
7,207,4
7,98,3
7,150,4
7,35,5
7,176,5
7,208,5
7,241,5
7,182,5
7,257,5
7,64,5
7,137,2
8,50,3
8,242,5
8,117,5
8,68,4
8,94,2
8,197,3
8,8,4
8,107,2
9,204,5
9,12,5
9,196,5
9,291,5
9,283,5
9,213,4
9,6,5
9,139,4
10,148,4
10,133,3
10,12,2
10,63,4
10,245,4
10,56,5
10,147,4
10,99,2
10,232,4
10,54,4
10,165,3
10,1,4
10,138,5
10,137,3
11,259,2
11,13,3
11,162,4
11,159,4
11,282,5
11,183,4
11,19,4
11,66,2
11,131,4
11,125,2
11,190,2
11,54,3
11,5,2
12,100,5
12,17,5
12,227,4
12,174,4
12,29,4
12,85,3
12,21,5
12,141,4
12,24,4
12,148,4
12,195,5
13,216,5
13,20,4
13,161,2
13,111,5
13,124,4
13,148,5
13,192,4
13,186,4
13,212,2
13,210,3
14,57,4
14,240,3
14,61,4
14,210,4
14,182,5
14,117,4
14,174,4
14,26,4
14,53,4
14,36,4
14,185,4
14,55,4
14,97,4
14,165,4
15,176,4
15,162,4
15,33,5
15,32,4
15,73,4
15,256,2
16,8,4
16,111,4
16,21,4
16,68,3
16,126,4
16,201,4
16,227,5
16,291,5
16,82,2
16,258,5
17,56,2
17,11,5
17,111,4
17,5,4
17,202,4
17,275,5
17,123,5
17,98,4
17,2,4
17,147,3
17,212,4
17,198,4
18,181,3
18,205,4
18,197,4
18,297,4
18,153,5
18,90,4
18,223,5
18,253,3
18,14,5
18,100,4
18,191,5
18,46,4
19,143,2
19,97,4
19,128,5
19,17,3
19,144,5
19,230,5
19,5,2
19,71,3
19,6,4
19,184,5
19,278,2
20,109,4
20,125,2
20,209,2
20,277,5
20,156,3
20,182,5
20,297,4
20,232,3
20,57,4
20,129,3
20,86,2
20,153,5
